datetime,ghi,dni,dhi,temperature,relative_humidity,dew_point,wind_speed,wind_direction,surface_albedo,solar_zenith_angle,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,is_daytime
2015-01-01 00:30:00,0.0,0.0,0.0,0.3342618384401115,0.7170941136594735,0.4080944350758853,0.36486486486486486,0.725,1.0,0.9858880048040835,0.5,1.0,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 01:30:00,0.0,0.0,0.0,0.3384401114206128,0.6920122020110722,0.4080944350758853,0.35810810810810806,0.7361111111111112,1.0,0.9388980633538506,0.6294095225512604,0.9829629131445341,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 02:30:00,0.0,0.0,0.0,0.34122562674094714,0.6874929386509998,0.4097807757166947,0.3445945945945946,0.7611111111111112,1.0,0.8723915328028824,0.75,0.9330127018922194,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 03:30:00,0.0,0.0,0.0,0.34679665738161564,0.673822166986781,0.41315345699831363,0.3310810810810811,0.7972222222222223,1.0,0.7978531751989191,0.8535533905932737,0.8535533905932737,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 04:30:00,0.0,0.0,0.0,0.34818941504178275,0.6774375776748389,0.41483979763912304,0.3243243243243243,0.8333333333333334,1.0,0.7208377120552469,0.9330127018922193,0.75,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 05:30:00,0.0,0.0,0.0,0.34401114206128136,0.7131397582194101,0.4198988195615514,0.2972972972972973,0.8583333333333334,1.0,0.6444978231496772,0.9829629131445341,0.6294095225512604,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 06:30:00,0.0,0.0,0.0,0.3384401114206128,0.7525703310360412,0.4215851602023608,0.277027027027027,0.8805555555555555,1.0,0.5713106140219186,1.0,0.5,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 07:30:00,0.0,0.0,0.0,0.33983286908078,0.7542650547960681,0.42495784148397975,0.25675675675675674,0.8972222222222223,1.0,0.4993994895661313,0.9829629131445341,0.3705904774487397,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,0.0
2015-01-01 08:30:00,0.05353535353535353,0.0,0.08862876254180602,0.350974930362117,0.7276014009716416,0.43170320404721746,0.23648648648648646,0.9027777777777778,1.0,0.44340189160786664,0.9330127018922194,0.2500000000000001,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,1.0
2015-01-01 09:30:00,0.1404040404040404,0.028846153846153848,0.22073578595317725,0.3690807799442897,0.682182804202915,0.4401349072512647,0.20945945945945943,0.9055555555555556,1.0,0.39581143972376515,0.8535533905932737,0.14644660940672627,0.5086043202025801,0.9999306437314268,0.75,0.9330127018922194,1.0
